,title,price,region
145,Iphone 11 pro max 256g 아이폰 11 프로맥스 256기가팜,"600,000원",인천 연수구 송도동
146,상태 최상‼️‼️‼️아이폰12 pro 128G(아이폰12 프로),"650,000원",경기도 고양시 일산서구 대화동
147,[미개봉 새상품] Apple iPhone 애플 아이폰 13 자급제 미드나이트 128GB MLPF3KH/A,"900,000원",서울 동작구 사당제2동
148,맥세이프 보조배터리 baseus (아이폰12 아이폰13 애플),"20,000원",울산 동구 서부동
149,아이폰11프로/아이폰x/아이폰xs 강화유리2매(새것),"2,000원",경기도 김포시 풍무동
150,아이폰14프로딥퍼플256가.아이폰14일반모델교환또는판매.일주일사용.,150만원,경기도 평택시 서탄면
151,아이폰 13 미니 128g 스타라이트 자급제(iPhone 13 mini starlight 128g) 화이트,"660,000원",인천 서구 검암동
152,아이폰X (아이폰10) 스그 64gb ss급 팝니다!,"220,000원",서울 강서구 발산제1동
153,아이폰14 / 아이폰14 플러스 링케 카메라 풀커버 강화유리필름 3매 8800->5800원,"4,000원",서울 강남구 삼성동
154,아이폰 12 Pro Max (아이폰12 프로맥스) 128GB (박스O) 👊🏻가격내림👊🏻,"770,000원",경기도 파주시 금촌2동
155,아이폰 8+ 64기가 로즈골드 / 아이폰8플러스 64기가,"160,000원",서울 강서구 화곡동
156,아이폰XS맥스/아이폰11프로맥스 프라이버시 강화유리,"3,000원",서울 동작구 대방동
157,"아이폰 12 Mini 256GB 화이트 (iPhone 12 Mini 256GB White, A2399)","520,000원",서울 종로구 청진동
158,"아이패드,아이폰5,아이폰se2","200,000원",경북 영천시 동부동
159,"아이폰 11 프로, iPhone11 Pro, 256GB, Space Gray","550,000원",서울 관악구 신림동
160,아이폰 11pro 256GB 스페이스그레이(아이폰 11프로),"350,000원",서울 영등포구 여의도동
161,"아이폰12프로 256 골드 (애플케어 12월까지) 아이폰12pro 풀박(강화유리,카메라보호필름 등등)","750,000원",경기도 파주시 야당동
162,iPhone 12mini 아이폰12 미니 스타라이트 64GB,"410,000원",서울 노원구 하계동
163,아이폰 14promax 아이폰14프로맥스 iphone14pro max 256기가,185만원,대구 동구 효목2동
164,아이폰 14프로 딥퍼플 -> 아이폰 14프로맥스 딥퍼플,185원,서울 서초구 방배2동
165,아이폰7플러스 아이폰8플러스 풀커버강화유리5매,"5,000원",인천 서구 불로동
166,"아이폰14프로 스페이스블랙, 1TB 미개봉상품 팝니다.(아이폰14pro)",212만원,광주 북구 문흥동
167,아이폰7 아이폰8 풀커버강화유리5매,"5,000원",서울 양천구 신월동
168,"아이폰14프로 스페이스블랙, 1TB 미개봉상품 팝니다.(아이폰14pro)",212만원,부산 강서구 대저1동
169,10월수령)신모델 아이폰14프로 256기가 스페이스블랙 iphone14pro 256 블랙 자급제,155만원,서울 강서구 발산제1동
170,아이폰12 퍼플 128기가 iPhone12,"650,000원",광주 광산구 운남동
171,거의 새제품)아이폰14프로 256G 스페이스블랙 자급제 iphone14 pro,155만원,인천 계양구 병방동
172,아이폰11pro 실버 64기가 아이폰11프로 a급 최상급 찍힘기스없,"475,000원",울산 울주군 온산읍
173,아이폰11pro 실버 64기가 아이폰11프로 a급 최상급 찍힘기스없,"475,000원",울산 울주군 온산읍
174,아이폰12미니 아이폰12mini 256기가 그린 자급제 완전새컨디션 올리퍼,"530,000원",인천 미추홀구 학익동
175,아이폰12미니 12mini iphone 128기가,"500,000원",광주 광산구 운남동
176,아이폰12프로 아이폰12pro 128기가,"850,000원",광주 광산구 운남동
177,아이폰12미니 iPhone12mini 128기가,"500,000원",광주 광산구 운남동
178,아이폰x 아이폰xs 액정필름 4개,"2,000원",경기도 성남시 분당구 야탑3동
179,"아이폰7,아이폰8,se 액정강화필름","5,000원",서울 동작구 상도제2동
180,아이폰12프로 512 실버 아이폰 12 pro 512GB,"800,000원",경기도 고양시 덕양구 화정1동
181,아이폰 충전기 잘됩니다 그리고 아이폰 사용감 있습니다,"3,500원",경기도 부천시 중2동
182,레드빈 마그네틱 듀오 자석 케이블 고속충전 USB 아이폰 8핀 (아이폰 USB) 1.8M (180cm),"5,000원",서울 중구 수하동
183,아이폰X 아이폰10 64기가 팝니다,"150,000원",경북 경산시 중방동
184,[강화유리] 아이폰11/ 아이폰XR 호환(ESR 강화유리 2장),"3,000원",경기도 수원시 영통구 매탄동
185,[강화유리] 아이폰12/ 아이폰12 프로 pro 호환(강화유리 총 6장),"30,000원",경기도 수원시 영통구 매탄동
186,아이폰 12 프로 맥스 iphone 12 pro max 256 그래파이트,"860,000원",경남 진주시 칠암동
187,아이폰 11 프로 맥스 iphone 11 pro max 256,"670,000원",경남 진주시 칠암동
188,아이폰 12 프로 맥스 iphone 12 pro max 256 그래파이트,"850,000원",부산 해운대구 중동
189,Iphone 아이폰 11 프로 맥스 블랙 256GB 풀박스,"500,000원",서울 강남구 역삼동
190,아이폰7 32기가 매트블랙 a급 금간곳없어요 배터리80% / 기타키워드: 아이폰6s 아이폰8,"110,000원",부산 사하구 괴정제3동
191,아이폰12프로 512gb 화이트 실버 / iPhone 12 Pro 512 실버 팝니다.,"800,000원",경기도 이천시 송정동
192,"아이폰13미니/아이폰13프로/아이폰13프로맥스 카메라필름/사생활보호,강화유리 필름판매합니다.","5,000원",서울 용산구 서계동
193,(새상품) 빅쏘 아이폰 14/ 아이폰14플러스 후면 카메라 렌즈 보호필름 블랙,"5,000원",서울 강서구 우장산동
194,아이폰11프로맥스256 iPhone 11 Pro Max 256g,"660,000원",서울 용산구 원효로3가
195,아이폰11프로맥스256 iPhone 11 Pro Max 256g,"660,000원",서울 용산구 원효로3가
196,"아이폰13미니/아이폰13프로/아이폰13프로맥스 카메라필름/사생활보호,강화유리 필름판매합니다.","5,000원",서울 관악구 서림동
197,iPhone 아이폰 xs max 256GB,"360,000원",서울 동작구 상도제4동
198,아이폰11프로 아이폰11pro 팝니다,"400,000원",서울 은평구 대조동
199,아이폰11 128기가 아이폰 iphone11,"480,000원",전남 영암군 삼호읍
200,아이폰14 . 아이폰14 프로 . 아이폰14 프로맥스 즉시개통가능 sk . kt . lg,100만원,대구 동구 신천1.2동
201,"아이폰se2 액정 파손 싸게 판매합니다.(아이폰se2 부품, 아이폰se2 액정)","90,000원",제주 서귀포시 동홍동
202,"z플립4 판매및 교환 >>> 아이폰13, 아이폰13프로 추가금교환","870,000원",대전 중구 목동
203,"아이폰11, 아이폰xr 강화 유리 필름","5,000원",전북 전주시 덕진구 송천동1가
204,아이폰 13 핑크 128GB iphone 13,"780,000원",경남 창원시 성산구 상남동
205,"아이폰X,아이폰10 스페이스 블랙 64G(기스 없음)충전기 포함","190,000원",경기도 부천시 상2동
206,자급제 아이폰 12 pro max 128 아이폰 12 프로 맥스 128 스페이스 그레이 팝니다.,"850,000원",경기도 용인시 기흥구 구갈동
207,아이폰8+ 아이폰8 플러스 64기가 로즈골드,"190,000원",서울 노원구 중계본동
208,아이폰X / 아이폰XS / 아이폰11프로 강화필름3매,"3,000원",경기도 광명시 소하동
209,아이폰13미니 256GB 판매중 아이폰13mini 256GB 블랙,"750,000원",광주 동구 충장로4가
210,아이폰12 프로맥스 256 판매합니다 iphone promax 256gb,"800,000원",대구 중구 덕산동
211,"애플라이트닝케이블,아이폰케이블,아이폰충전기 1m,2m","10,000원",경기도 김포시 대곶면
212,"아이폰 8플러스, 아이폰11프로맥스, 애플워치5셀룰러, 아이패드미니5, 애플펜슬 1세대, 에어팟 팝니다",150만원,대구 남구 대명동
213,아이폰11 퍼플 128gb -> 아이폰11 블랙 128gb,128원,대구 북구 태전동
214,아이폰 12 박스만 (아이폰12 판매하실때 필요하신분 가져가세요),"5,000원",울산 북구 화봉동
215,아이폰8플러스 아이폰8+ 256G (액정파손),"220,000원",서울 영등포구 신길제3동
216,아이폰 12 프로 맥스 512기가 (iPhone 12 Pro Max 512GB) 자급제 판매합니다,"950,000원",충북 청주시 청원구 율량.사천동
217,"아이폰 무선충전기 판매합니다.(3in1//아이폰,에어팟,애플워치)","25,000원",서울 관악구 신림동
218,아이폰11프로 256기가 상태S급 판매합니다. (iPhone 11pro 256gb),"450,000원",대전 중구 태평2동
219,아이폰 11프로 256기가 미드나잇그린 아이폰11pro 256 판매,"440,000원",경기도 성남시 분당구 대장동
220,[미개봉] 애플 아이폰14프로 256GB 실버 자급제 판매합니다. (아이폰14pro),165만원,서울 관악구 신림동
221,iPhone X 아이폰 X 64G 자급제 S급 실버,"220,000원",서울 강남구 개포1동
222,아이폰(Iphone) 8 / Product RED / 64GB / 미국판,"150,000원",서울 성동구 응봉동
223,아이폰 12 프로 그래파이트 128기가/ iPhone 12 pro Graphite 128g,"600,000원",경기도 수원시 영통구 영통1동
224,아이폰(iphone) 8 / Product RED / 64GB / 미국판,"150,000원",서울 강남구 역삼동
225,아이폰12 프로맥스 256G 그래파이트 팝니다. 아이폰12 PRO MAX,"930,000원",서울 관악구 신림동
226,[미개봉] 애플 아이폰14프로맥스 256GB 실버 자급제 판매합니다. (아이폰14promax),180만원,서울 관악구 신림동
227,iphone 아이폰 12프로 S급 베터리 100% 512GB,"970,000원",인천 연수구 송도4동
228,아이폰12 프로 아이폰12프로 맥스,"3,000원",서울 서대문구 대현동
229,베루스 강화유리2매 아이폰13/아이폰13프로,"7,000원",부산 연제구 연산제4동
230,아이폰11pro(아이폰11프로) S급,"480,000원",경남 김해시 무계동
231,[미개봉자급제] 아이폰14 256 블루 iphone14 256GB blue,117만 5000원,서울 강남구 대치동
232,[S급] 아이폰 12 PRO MAX 아이폰 12 프로 맥스 퍼시픽블루 128 팝니다.,"780,000원",경기도 화성시 오산동
